sample_index,state,strehl_ratio,peak_intensity,ideal_peak_intensity,phase_rmse_rad
78,physics_compensated,0.5956449085802314,7612442.0,12780168.0,0.7781261205673218
78,ideal,1.0,12780168.0,12780168.0,0.0
79,before,0.4459952326135306,5699894.0,12780168.0,2.2724170684814453
79,baseline_compensated,0.9166705007320718,11715203.0,12780168.0,0.5159793496131897
79,physics_compensated,0.9194299323764759,11750469.0,12780168.0,0.5082806348800659
79,ideal,1.0,12780168.0,12780168.0,0.0
80,before,0.5862170199953552,7491952.0,12780168.0,1.8267359733581543
80,baseline_compensated,0.817069306131187,10442283.0,12780168.0,0.5785517692565918
80,physics_compensated,0.8202461031811162,10482883.0,12780168.0,0.549079954624176
80,ideal,1.0,12780168.0,12780168.0,0.0
81,before,0.40130822223933205,5128786.5,12780168.0,1.6476218700408936
81,baseline_compensated,0.8173446546242584,10445802.0,12780168.0,1.205317497253418
81,physics_compensated,0.8133445507132614,10394680.0,12780168.0,1.1915042400360107
81,ideal,1.0,12780168.0,12780168.0,0.0
82,before,0.37223802535303135,4757264.5,12780168.0,1.6913132667541504
82,baseline_compensated,0.35279039367870596,4508720.5,12780168.0,1.1703025102615356
82,physics_compensated,0.3675319839301017,4697120.5,12780168.0,1.1302158832550049
82,ideal,1.0,12780168.0,12780168.0,0.0
83,before,0.3696010881860082,4723564.0,12780168.0,1.7400113344192505
83,baseline_compensated,0.5275182219826844,6741771.5,12780168.0,0.9801371693611145
83,physics_compensated,0.551140681405753,7043670.5,12780168.0,0.8734868764877319
83,ideal,1.0,12780168.0,12780168.0,0.0
84,before,0.37955514356305803,4850778.5,12780168.0,1.710267424583435
84,baseline_compensated,0.312684328562817,3996158.25,12780168.0,1.3755993843078613
84,physics_compensated,0.4989538087449242,6376713.5,12780168.0,1.5961644649505615
84,ideal,1.0,12780168.0,12780168.0,0.0
85,before,0.28962833274179184,3701498.75,12780168.0,1.9960381984710693
85,baseline_compensated,0.8709870637068308,11131361.0,12780168.0,0.7327237725257874
85,physics_compensated,0.8018008839946392,10247150.0,12780168.0,0.5811939239501953
85,ideal,1.0,12780168.0,12780168.0,0.0
86,before,0.4105204250836139,5246520.0,12780168.0,2.1586196422576904
86,baseline_compensated,0.9104725383891668,11635992.0,12780168.0,0.5740901231765747
86,physics_compensated,0.8984592377815378,11482460.0,12780168.0,0.5615270733833313
86,ideal,1.0,12780168.0,12780168.0,0.0
87,before,0.3131369634577574,4001943.0,12780168.0,2.050661087036133
87,baseline_compensated,0.43120372126563594,5510856.0,12780168.0,1.3462806940078735
87,physics_compensated,0.39935605697828075,5103837.5,12780168.0,1.2249451875686646
87,ideal,1.0,12780168.0,12780168.0,0.0
88,before,0.40196329969997263,5137158.5,12780168.0,1.4944188594818115
88,baseline_compensated,0.8385158943137524,10716374.0,12780168.0,0.6697128415107727
88,physics_compensated,0.7593447910856884,9704554.0,12780168.0,0.8154987692832947
88,ideal,1.0,12780168.0,12780168.0,0.0
89,before,0.394462889689713,5041302.0,12780168.0,2.0447282791137695
89,baseline_compensated,0.7545018970016669,9642661.0,12780168.0,0.7006760239601135
89,physics_compensated,0.8200747439313787,10480693.0,12780168.0,0.5748711824417114
89,ideal,1.0,12780168.0,12780168.0,0.0
90,before,0.26873797746633693,3434516.5,12780168.0,1.892202377319336
90,baseline_compensated,0.33328505540772235,4259439.0,12780168.0,1.2674921751022339
90,physics_compensated,0.3263066260161838,4170253.5,12780168.0,1.2573180198669434
90,ideal,1.0,12780168.0,12780168.0,0.0
91,before,0.29668422590375965,3791674.25,12780168.0,1.7424603700637817
91,baseline_compensated,0.6564817457798677,8389947.0,12780168.0,0.7316407561302185
91,physics_compensated,0.6610085250835513,8447800.0,12780168.0,0.7241330146789551
91,ideal,1.0,12780168.0,12780168.0,0.0
92,before,0.2955493229822957,3777170.0,12780168.0,2.047833204269409
92,baseline_compensated,0.3438596034105342,4394583.5,12780168.0,1.1054136753082275
92,physics_compensated,0.37433177717225624,4784023.0,12780168.0,1.0638422966003418
92,ideal,1.0,12780168.0,12780168.0,0.0
93,before,0.2924493246098173,3737551.5,12780168.0,1.7162021398544312
93,baseline_compensated,0.3303481221843093,4221904.5,12780168.0,1.1389590501785278
93,physics_compensated,0.3232994667988715,4131821.5,12780168.0,1.3005152940750122
93,ideal,1.0,12780168.0,12780168.0,0.0
94,before,0.4276600276303097,5465567.0,12780168.0,1.8354990482330322
94,baseline_compensated,0.8960473759030397,11451636.0,12780168.0,0.4921530485153198
94,physics_compensated,0.928590375337789,11867541.0,12780168.0,0.45838823914527893
94,ideal,1.0,12780168.0,12780168.0,0.0
95,before,0.40825460979855666,5217562.5,12780168.0,1.876635193824768
95,baseline_compensated,0.7156153972310849,9145685.0,12780168.0,0.6432616710662842
95,physics_compensated,0.7491269285348987,9573968.0,12780168.0,0.6028613448143005
95,ideal,1.0,12780168.0,12780168.0,0.0
96,before,0.3972061243639364,5076361.0,12780168.0,1.9688220024108887
96,baseline_compensated,0.8699067962173893,11117555.0,12780168.0,0.9219740629196167
96,physics_compensated,0.8882737691711095,11352288.0,12780168.0,0.8413706421852112
96,ideal,1.0,12780168.0,12780168.0,0.0
97,before,0.2889831338680368,3693253.0,12780168.0,1.6525999307632446
97,baseline_compensated,0.44058337104801754,5630729.5,12780168.0,1.4403830766677856
97,physics_compensated,0.36016138441998574,4602923.0,12780168.0,1.4285781383514404
97,ideal,1.0,12780168.0,12780168.0,0.0
98,before,0.38469357366820217,4916448.5,12780168.0,1.505972981452942
98,baseline_compensated,0.8092902221629638,10342865.0,12780168.0,0.5756269693374634
98,physics_compensated,0.8173102262818455,10445362.0,12780168.0,0.5168247818946838
98,ideal,1.0,12780168.0,12780168.0,0.0
99,before,0.4057669273205172,5185769.5,12780168.0,1.6579015254974365
